Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
"Kate Bosworth, Iddo Goldberg, Claire Bloom, Jamie Blackley",2 nominations.,N/A,USA,19-Nov-13,Kat Coiro,Drama,5.8/10,English,48/100,48,"While working on a writing project on the island of Ischia, a married woman (Bosworth) enters into an affair with a younger man.",https://ia.media-imdb.com/images/M/MV5BMTU1MTgxOTcwNl5BMl5BanBnXkFtZTgwNzYzODEyMDE@._V1_SX300.jpg,Well Go USA,R,13-Aug-13,TRUE,43%,83 min,And While We Were Here,movie,http://wellgousa.com/theatrical/and-while-we-were-here,Kat Coiro,2012,tt1972819,5.8,"3,081",2397,
"Nicole LaLiberte, Danielle Panabaker, Matthew Rauch, Liam Aiken",1 win & 1 nomination.,"$6,111",USA,26-Feb-13,Austin Chick,"Drama, Horror, Thriller",4.8/10,English,17/100,17,"After a series of bad experiences with men, Shae teams up with her co-worker, Lu, who has a simple, deadly way of dealing with the opposite sex.",https://ia.media-imdb.com/images/M/MV5BMTg1NzgxODIzNF5BMl5BanBnXkFtZTcwODMzMDE5OA@@._V1_SX300.jpg,Anchor Bay Films,R,1-Feb-13,TRUE,22%,93 min,Girls Against Boys,movie,http://www.g-vs-b.com/Girls_V_Boys/COMING_SOON.html,Austin Chick,2012,tt2036376,4.8,"3,030",2398,
"Joe Tyler Gold, Valerie Dillman, Jonathan Levit, Sascha Alexander",N/A,N/A,USA,10-Sep-13,"Tammy Caplan, Joe Tyler Gold",Comedy,4.9/10,English,43/100,43,A magician competes in an international magic competition where he goes head to head with a female street magician he has fallen in love with. This film shows great magic performed by a ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxODg2ODAxMV5BMl5BanBnXkFtZTcwMDc4ODU3OA@@._V1_SX300.jpg,Independent Pictures,NOT RATED,1-Nov-13,TRUE,67%,86 min,Desperate Acts of Magic,movie,http://www.desperateactsofmagic.com/,Joe Tyler Gold,2013,tt2401007,4.9,103,2399,
"Jeanne Tripplehorn, Liev Schreiber, Joelle Carter, Louise Fletcher",N/A,$388,USA,27-Jan-14,Kees Van Oostrum,"Drama, Romance",5.2/10,English,31/100,31,A womanizing husband inadvertently falls back in love with his wife over the phone when she pretends to be another woman.,https://m.media-amazon.com/images/M/MV5BMTQyNjI5Nzc5N15BMl5BanBnXkFtZTgwODE4MTA1MDE@._V1_SX300.jpg,IFC Films,R,31-Oct-13,TRUE,20%,95 min,A Perfect Man,movie,http://www.ifcfilms.com/films/a-perfect-man,"Larry Brand, Peter Elkoff",2013,tt2275471,5.2,"1,749",2400,
"Juno Temple, Michael Angarano, Alexis Bledel, Billy Magnussen",2 nominations.,N/A,USA,18-Jun-13,Ramaa Mosley,"Comedy, Fantasy, Thriller",6.4/10,English,43/100,43,"When a couple discovers that a brass teapot makes them money whenever they hurt themselves, they must come to terms with how far they are willing to go.",https://m.media-amazon.com/images/M/MV5BMTEyNDIxOTE3NDheQTJeQWpwZ15BbWU3MDI0ODE5OTg@._V1_SX300.jpg,Magnolia Pictures,R,15-Apr-13,TRUE,33%,101 min,The Brass Teapot,movie,http://www.magpictures.com/thebrassteapot/,"Tim Macy (screenplay), Ramaa Mosley (story), Tim Macy (story)",2012,tt1935902,6.4,"13,301",2401,
"Wei Tang, Xiubo Wu, Hai-Qing, Hongmei Mai",9 wins & 13 nominations.,N/A,"China, Hong Kong",N/A,Xiaolu Xue,Comedy,6.4/10,"Mandarin, English, Min Nan",50/100,50,"A woman from Beijing, pregnant with the child of her rich married boyfriend flies to Seattle in order to deliver the baby. There she meets another Chinese immigrant man working as a driver, even as she finds her life beginning to change.",https://m.media-amazon.com/images/M/MV5BMTUzMzgyOTU3MF5BMl5BanBnXkFtZTgwMDIzNjg5NDE@._V1_SX300.jpg,China Lion Film,N/A,21-Mar-13,TRUE,83%,121 min,Finding Mr. Right,movie,https://www.facebook.com/pages/Finding-Mr-Right/324193484364766,Xiaolu Xue,2013,tt2169322,6.4,"1,893",2402,
"Margot Bennett, Chris Cheng, Alan Gottlieb, Dan Gross",N/A,"$6,781",USA,14-Oct-13,Kris Koenig,Documentary,7.6/10,English,,N/A,"With the original intention of empowering a citizenry's ability to defend themselves against a corrupt or tyrannical government, the concept today may seem farfetched or the makings of a ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNjIwMTk3NF5BMl5BanBnXkFtZTcwMDY3Mjg0OQ@@._V1_SX300.jpg,Dead Patriot Films,PG-13,20-Jun-13,TRUE,60%,79 min,Assaulted: Civil Rights Under Fire,movie,http://www.AssaultedFilm.com,Kris Koenig,2013,tt2520398,7.6,97,2403,
"Kali Sanchez, Rudy Marquez",N/A,N/A,USA,N/A,Julia Vasquez,"Short, Drama",N/A,Spanish,N/A,N/A,N/A,N/A,N/A,N/A,9-Jun-13,TRUE,N/A,N/A,Gotas de Sal,movie,N/A,Julia Vasquez,2013,tt4716972,N/A,N/A,2404,
"Jan Gehl, Rob Adams, Robert Doyle, Lars GemzÃ¸e",4 nominations.,N/A,"Denmark, Bangladesh, China, New Zealand, USA",10-Feb-14,Andreas Dalsgaard,"Documentary, News",7.4/10,English,50/100,50,"Half of the human population lives in urban areas. By 2050, this will increase to 80%. Life in a megacity is both enchanting and problematic. Today we face peak oil, climate change, ...",https://ia.media-imdb.com/images/M/MV5BNjMyODQ0NTI1MV5BMl5BanBnXkFtZTgwMTc1NDAxMDE@._V1_SX300.jpg,Autlook Filmsales GmbH,N/A,21-Feb-13,TRUE,64%,83 min,The Human Scale,movie,http://thehumanscale.dk/,Andreas Dalsgaard,2012,tt2414454,7.4,603,2405,
"Melanie Lenz, Verena Lehbauer, Joseph Lorenz, Michael Thomas",2 nominations.,"$4,184","Austria, France, Germany",N/A,Ulrich Seidl,Drama,6.7/10,German,78/100,78,"The final installment in Ulrich Seidl's Paradise trilogy, 'Paradise: Hope' tells the story of overweight thirteen-year-old Melanie and her first love. While her mother travels to Kenya ('...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3ODk1MjAzN15BMl5BanBnXkFtZTgwMDgzNDM2MDE@._V1_SX300.jpg,Strand Releasing,UNRATED,18-Dec-13,TRUE,91%,92 min,Paradise: Hope,movie,http://www.strandreleasing.com/films/film_details.asp?BusinessUnitID={BFD06A96-7612-4F21-AEC0-3452C34902C4}&ProjectID={27F3DC0C-938A-E211-95F5-D4AE527C3B65},"Ulrich Seidl (screenplay), Veronika Franz (screenplay)",2013,tt2371834,6.7,"3,427",2406,
"Jonah Parker, Theo Green, David A. Parker, Aaron Jungels",2 wins & 2 nominations.,"$6,629",USA,N/A,Laura Colella,Drama,6.8/10,English,62/100,62,"Syd is an eccentric bookseller with delusions of grandeur fueled by red wine. He caused a rift 5 years ago between his bohemian housemates and the family next door, but now tries to recruit his 14-year-old neighbor as a collaborator.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNjA2Nzc3OV5BMl5BanBnXkFtZTgwMjI5NTQ3MDE@._V1_SX300.jpg,Abramorama Entertainment,N/A,1-Jun-12,TRUE,78%,84 min,Breakfast with Curtis,movie,http://www.breakfastwithcurtis.com,Laura Colella,2012,tt2062497,6.8,215,2407,
"Joel de la Fuente, Alexie Gilmore, Scott Shepherd, Francie Swift",N/A,"&pound;5,891",USA,N/A,John Daschbach,Drama,6.9/10,English,38/100,38,"Aaron Clark's comfortable life in the bucolic New England countryside is shattered by the unexpected arrival of former classmate Teddy who accuses him of business improprieties and cover-ups, with unforeseen consequences.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwOTQ0MDQ1N15BMl5BanBnXkFtZTcwMjk5NzczNw@@._V1_SX300.jpg,Independent Pictures,N/A,10-Aug-11,TRUE,17%,88 min,Brief Reunion,movie,http://www.briefreunion.com,John Daschbach,2011,tt1697887,6.9,41,2408,
"Famke Janssen, James Gandolfini, Maria Dizzia, John Magaro",N/A,"$4,808",USA,9-Apr-13,Harold Guskin,"Drama, Romance, Thriller",5.9/10,English,54/100,54,The lives of three childhood friends on the Jersey Shore begin to unravel when a secret from their past is revealed.,https://m.media-amazon.com/images/M/MV5BNzgxNjE3ZDEtODhiNy00ZjI3LTk5MDQtM2RkNjIyMGFmZGJhXkEyXkFqcGdeQXVyMTIxMzA5MDI@._V1_SX300.jpg,Anchor Bay Entertainment,R,7-Jan-11,TRUE,45%,93 min,Down the Shore,movie,N/A,Sandra Jennings,2011,tt1155060,5.9,896,2409,
"Julianne Hough, Holly Hunter, Nick Offerman, Phil Austin",N/A,N/A,USA,12-Nov-13,Diablo Cody,"Comedy, Drama",5.0/10,English,35/100,35,After surviving a plane crash a young conservative woman suffers a crisis of faith.,https://m.media-amazon.com/images/M/MV5BMjA4Njk4NDc4NV5BMl5BanBnXkFtZTcwNDkzMDg5OQ@@._V1_SX300.jpg,RLJ Entertainment/Image Entertainment,PG-13,18-Oct-13,TRUE,20%,86 min,Paradise,movie,http://www.rljentertainment.com,Diablo Cody,2013,tt1262990,5,"3,150",2410,
"Stanley Tucci, Alice Eve",N/A,N/A,USA,23-Jun-14,Neil LaBute,Drama,5.8/10,English,54/100,54,"A man surprises his former mistress by claiming to have left his wife. However, before long, a dark history between the two comes into focus.",https://m.media-amazon.com/images/M/MV5BNTgxMzUxMDc3Ml5BMl5BanBnXkFtZTgwNDgxODE2MDE@._V1_SX300.jpg,Tribeca Films,NOT RATED,10-Dec-13,TRUE,53%,84 min,Some Velvet Morning,movie,http://tribecafilm.com/somevelvetmorning,Neil LaBute,2013,tt2231138,5.8,"1,508",2411,
"Damon Herriman, Angus Sampson, Anna McGahan, Oliver Ackland",1 win & 6 nominations.,N/A,Australia,1-Oct-13,"Cameron Cairnes, Colin Cairnes","Comedy, Horror",6.0/10,English,63/100,63,"Reg and Lindsay run an organic fertiliser business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NTAxMDYxN15BMl5BanBnXkFtZTcwMzk4NzIyOA@@._V1_SX300.jpg,Doppelganger Releasing,NOT RATED,1-Aug-13,TRUE,83%,91 min,100 Bloody Acres,movie,http://morgansorganic.com/,"Cameron Cairnes, Colin Cairnes",2012,tt2290065,6,"3,120",2412,
"Chandru Bhojwani, Nicola Dalziel, Nir Kitaro, Chris Vincent",N/A,"&pound;4,063",UK,2-Jul-13,Tianxia Li,"Short, Thriller",,English,,N/A,N/A,N/A,IFC Films,N/A,1-Apr-13,TRUE,18%,N/A,Inescapable,movie,http://www.ifcfilms.com/films/inescapable,N/A,2013,tt4509744,N/A,N/A,2413,
"Ed Harris, January Jones, Jason Isaacs, Eduardo Noriega",1 win & 1 nomination.,N/A,USA,31-Dec-13,"Logan Miller, Noah Miller","Thriller, Western",6.2/10,English,38/100,38,"In the late 1800s, a fanatical religious leader, a renegade Sheriff, and a former prostitute collide in a blood triangle on the rugged plains of the New Mexico Territory.",https://m.media-amazon.com/images/M/MV5BMjM1NzUyNjE0MF5BMl5BanBnXkFtZTgwNTIwMzkyMDE@._V1_SX300.jpg,Arc Entertainment,R,11-Oct-13,TRUE,27%,95 min,Sweetwater,movie,http://www.facebook.com/sweets.movie,"Logan Miller (screenplay by), Noah Miller (screenplay by), Andrew McKenzie (story by)",2013,tt2224004,6.2,"5,146",2414,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Movie not found!,N/A,N/A,Guitar Innovators,N/A,N/A,N/A,2013,N/A,N/A,N/A,2415,
"Shanon Harper, Junior Adolph, Ernest Bastien, Mark Anthony Hackett",6 wins & 2 nominations.,"&pound;3,629",USA,N/A,Keith Miller,Drama,6.1/10,English,74/100,74,"A recently reformed drug dealer, now working as a claims adjuster by day and bouncer by night, receives earth-shattering news, compelling to make peace with his past and search for freedom beyond the concrete jungle of New York City.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTc0MTE0OV5BMl5BanBnXkFtZTcwMjU3NjAxOQ@@._V1_SX300.jpg,Oscilloscope Pictures,NOT RATED,1-Mar-13,TRUE,83%,81 min,Welcome to Pine Hill,movie,http://www.welcometopinehill.com,"Keith Miller (story), Keith Miller",2012,tt2099788,6.1,205,2416,
"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Amitosh Nagpal",N/A,N/A,India,N/A,Priyadarshan,"Action, Drama",5.1/10,Hindi,,N/A,"Three friends who come together to help a fourth friend elope with his lover, come together once again to teach the couple a lesson, when they part away.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDhiMTA3ODUtNjE5Ny00OTg5LTgzY2ItNTJlZjc4Y2FjMDczXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,UTV Communications,NOT RATED,21-Mar-13,TRUE,,144 min,Rangrezz,movie,https://www.facebook.com/Rangrezzz,"Manisha Korde (dialogue), Mushtaq Sheikh (screenplay)",2013,tt2706264,5.1,334,2417,
"Lydie Barbara, JoÃ£o Rui Guerra da Mata, JoÃ£o Pedro Rodrigues, Cindy Scrash",10 wins & 7 nominations.,N/A,"Portugal, France, Macao",N/A,"JoÃ£o Pedro Rodrigues, JoÃ£o Rui Guerra da Mata(co-director)","Crime, Drama, Musical",6.4/10,"Portuguese, Cantonese, English",69/100,69,"Two filmmakers leave to Macao in an adventure of discovery of a city-labyrinth, multicultural and mysterious, where the memories of the childhood - featured memories by the lived reality in...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMjIwNTY3NV5BMl5BanBnXkFtZTgwMzgxMjIxMDE@._V1_SX300.jpg,Cinema Guild,UNRATED,14-Mar-13,TRUE,89%,82 min,The Last Time I Saw Macao,movie,http://www.sonyclassics.com/wadjda/,"JoÃ£o Pedro Rodrigues, JoÃ£o Rui Guerra da Mata",2012,tt1843840,6.4,358,2418,
"Jessica Fildes, James Fildes",N/A,N/A,UK,N/A,N/A,"Short, Action, Comedy",6.3/10,English,,N/A,N/A,N/A,N/A,N/A,8-Aug-13,TRUE,,8 min,The Dark Knight in the Playroom,movie,N/A,N/A,2013,tt3839174,6.3,22,2419,
"Agathe Bonitzer, Mahmud Shalaby, Hiam Abbass, Riff Cohen",4 nominations.,"$2,531","France, Israel, Canada",16-Apr-13,Thierry Binisti,Drama,7.2/10,"Hebrew, Arabic, French",58/100,58,"Tal is 17 years old. Naim is 20. She's Israeli. He's Palestinian. She lives in Jerusalem. He lives in Gaza. They were born in a land of scorched earth, where fathers bury their children. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIzMDIxMDk2OV5BMl5BanBnXkFtZTgwNDI4OTU0MDE@._V1_SX300.jpg,Film Movement,NOT RATED,4-Jan-13,TRUE,69%,100 min,A Bottle in the Gaza Sea,movie,http://unebouteillealamer-lefilm.com/,"Thierry Binisti, ValÃ©rie Zenatti",2010,tt2082496,7.2,936,2420,
"Ryan Steele, Reed Luplau, Catherine Miller, Kimiye Corwin",1 win & 2 nominations.,N/A,USA,29-Jul-14,Alan Brown,"Drama, Music, Romance",7.2/10,English,51/100,51,The coming of age tale of an extraordinarily gifted young dancer recently arrived in New York City.,https://m.media-amazon.com/images/M/MV5BNzkzODQ1Mzg4MV5BMl5BanBnXkFtZTgwNzk3NzEyMDE@._V1_SX300.jpg,Paladin,TV-14,4-Oct-13,TRUE,50%,83 min,Five Dances,movie,http://fivedancesthemovie.com,Alan Brown,2013,tt2186781,7.2,"2,238",2421,
"Lloyd Adams, Alfredo ÃÅlvarez CalderÃ_n, Josh Bainbridge, Danielle Baker",1 win.,"$5,750",Canada,5-Mar-13,Damian Lee,"Action, Thriller",5.6/10,English,31/100,31,A former CIA operative turned political talk show host is hired by a disaffected corporate shareholder to expose her company's cover-up of an incident and deaths in an Ecuadorian village.,https://m.media-amazon.com/images/M/MV5BMTYxOTQ0NTUzOV5BMl5BanBnXkFtZTcwMjc5MDA2OA@@._V1_SX300.jpg,Magnolia Pictures,R,29-Nov-12,TRUE,8%,106 min,A Dark Truth,movie,http://www.magpictures.com/adarktruth/,Damian Lee,2012,tt2083379,5.6,"5,408",2422,
N/A,7 wins & 6 nominations.,"$5,651",Canada,4-Feb-14,Joel Heath,Documentary,8.1/10,"English, Inuktitut",,N/A,"Featuring stunning footage from seven winters in the Arctic, People of a Feather takes you through time into the world of the Inuit on the Belcher Islands in Canada's Hudson Bay. Connecting...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NTk3Njk3MV5BMl5BanBnXkFtZTcwNzcxMDU0Nw@@._V1_SX300.jpg,First Run Features,N/A,8-Nov-13,TRUE,86%,90 min,People of a Feather,movie,http://www.peopleofafeather.com,"Joel Heath, Dinah Kavik, Johnny Kudluarok, Community of Sanikiluaq",2011,tt1929346,8.1,90,2423,
"Ilan Hall, Giovanni Reda",N/A,,USA,,N/A,Reality-TV,6.2/10,English,,N/A,"Top Chef winner and The Gorbals restaurant owner and chef, Ilan Hall hosts after hours culinary battles in his restaurant. Two chefs are given three ingredients, one hour and free reign of ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NzA4NTYwN15BMl5BanBnXkFtZTgwNTI0ODAxMzE@._V1_SX300.jpg,,N/A,24-Sep-13,TRUE,,N/A,Knife Fight,series,,Doug Mirabello,2013â€“,tt2884170,6.2,93,2424,4
"Xiaoming Huang, Ethan Juan, Purba Rgyal, Tian Gao",5 nominations.,N/A,"China, Haiti, Hong Kong",13-Aug-13,Wai-Keung Lau,"Action, Drama",4.8/10,Mandarin,35/100,35,An elite crime-fighting unit in the court of the Chinese emperor relies on flying swords to defeat their enemies.,https://m.media-amazon.com/images/M/MV5BZWFkMDJiODYtY2I1OS00ZTBhLWEzZjYtMGUyMjhjYjhhMTc5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,Well Go USA,R,14-Jun-13,TRUE,25%,112 min,The Guillotines,movie,http://wellgousa.com/theatrical/the-guillotines,"Oi Wah Lam, Joyce Chan, Yuet-Jan Hui, Peter Tsi, Junli Guo, Koon-Nam Lui",2012,tt1847713,4.8,"1,187",2425,
"Sarah Paulson, Jeremy Allen White, Wes Bentley, Corey Stoll",1 win.,N/A,USA,10-Mar-14,Nenad Cicin-Sain,Mystery,5.5/10,English,29/100,29,An artist meets a mysterious and wealthy benefactor and their relationship is not what it appears to be.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTU1MjI3NF5BMl5BanBnXkFtZTcwODk2MDk3OQ@@._V1_SX300.jpg,Tribeca Film,NOT RATED,23-Jul-13,TRUE,25%,85 min,The Time Being,movie,http://tribecafilm.com/tribecafilm/filmguide/time-being,"Nenad Cicin-Sain, Richard N. Gladstein",2012,tt1916749,5.5,664,2426,
Tim DeChristopher,1 win.,"$4,809",USA,15-Jul-13,"Beth Gage, George Gage","Documentary, Biography, Crime",6.9/10,English,61/100,61,"Tim DeChristopher is Bidder 70, a young man who derailed an illegal BLM oil and gas auction in a courageous act of civil disobedience.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMDU2NjI0MF5BMl5BanBnXkFtZTcwNjQ5NDk4Nw@@._V1_SX300.jpg,First Run Features,N/A,29-Mar-12,TRUE,78%,73 min,Bidder 70,movie,http://www.bidder70film.com/,Beth Gage,2012,tt2085759,6.9,110,2427,
N/A,N/A,N/A,Japan,N/A,Atsushi Funahashi,"Documentary, Drama",N/A,Japanese,N/A,N/A,Many people have forgotten what happened in Fukushima.,N/A,N/A,N/A,N/A,TRUE,N/A,95 min,Nuclear Nation 2,movie,N/A,Atsushi Funahashi,2015,tt5050802,N/A,N/A,2428,
"Jackie Sumell, Herman Wallace",2 wins & 4 nominations.,"&pound;4,669","USA, Canada, UK",8-Jul-13,Angad Bhalla,"Documentary, Crime",6.2/10,English,73/100,73,'What kind of house does a man who has been imprisoned in a six-foot-by-nine-foot cell for over 30 years dream of?' This film captures the remarkable creative journey and friendship of ...,https://m.media-amazon.com/images/M/MV5BOTE3NzI2MDA3MF5BMl5BanBnXkFtZTcwMzgzMjQ4Nw@@._V1_SX300.jpg,First Run Features,NOT RATED,2-Mar-12,TRUE,88%,80 min,Herman's House,movie,http://hermanshousethefilm.com,N/A,2012,tt2079512,6.2,151,2429,
"Alex Karpovsky, Tarik Lowe, Arielle Kebbel, Sophia Takal",N/A,N/A,USA,24-Jun-13,Daniel Schechter,Comedy,6.4/10,"English, Spanish",62/100,62,Two New York film editors balance their personal relationships while reworking a movie in crisis.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1NjEyNjgyOF5BMl5BanBnXkFtZTcwNjUwMzMwOQ@@._V1_SX300.jpg,Independent Pictures,NOT RATED,25-Jan-13,TRUE,86%,87 min,Supporting Characters,movie,http://www.supportingcharacters-film.com/,"Daniel Schechter, Tarik Lowe",2012,tt1874789,6.4,798,2430,
"David A.R. White, Brian Bosworth, Eric Roberts, Andrea Logan White",N/A,"$3,722",USA,14-Oct-13,Gabriel Sabloff,"Action, Fantasy",5.3/10,English,,N/A,"With the Rapture now history, traveling salesman Josh becomes a warrior on the road in his plan to return home, but God guides others to help make Josh part of His plan.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTEzMTYzNF5BMl5BanBnXkFtZTgwOTc5NDIwMDE@._V1_SX300.jpg,Freestyle Releasing,NOT RATED,12-Jul-13,TRUE,,90 min,Revelation Road 2: The Sea of Glass and Fire,movie,http://pureflix.com/portfolio/revelationroad/,"Sean Paul Murphy, Gabriel Sabloff",2013,tt2825924,5.3,741,2431,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Year not match!,N/A,N/A,Ferlinghetti,N/A,N/A,N/A,2013,N/A,N/A,N/A,2432,
"Eric Elmosnino, HÃ©lÃ©na Noguerra, Ary Abittan, FrÃ©dÃ©rique Bel",N/A,"$3,713",France,N/A,Charles Nemes,"Comedy, Romance",4.6/10,French,36/100,36,"When two people who no longer believe in love find each other, nothing can get in the way of their blossoming romance - except for a playful farce of miscues, meddling, and mistaken identity.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NjU3NTgxOF5BMl5BanBnXkFtZTgwMjgzMTQyMDE@._V1_SX300.jpg,Rialto Premieres,N/A,8-May-13,TRUE,60%,97 min,HÃ´tel Normandy,movie,N/A,"Jean-Paul Bathany (scenario and dialogue), StÃ©phane Ben Lahcene (scenario and dialogue)",2013,tt2644800,4.6,245,2433,
"Paul Giamatti, Paul Rudd, Sally Hawkins, Amy Landecker",1 nomination.,"$4,556",USA,18-Nov-13,Phil Morrison,"Comedy, Drama",5.6/10,English,54/100,54,"While out on parole, Dennis reluctantly takes a job selling Christmas trees with his old buddy Rene in order to make enough money to buy his estranged daughter the piano she's always wanted.",https://m.media-amazon.com/images/M/MV5BMjE2ODg4MDUzOF5BMl5BanBnXkFtZTgwMzk5MjkxMDE@._V1_SX300.jpg,Anchor Bay Films,R,10-Sep-13,TRUE,46%,107 min,All Is Bright,movie,N/A,Melissa James Gibson,2013,tt1462901,5.6,"5,027",2434,
"Francisco Barreiro, Laura Caro, Alan Martinez, Michele Garcia",6 wins & 3 nominations.,N/A,Mexico,18-Mar-14,AdriÃ¡n GarcÃ_a Bogliano,"Horror, Thriller",5.6/10,Spanish,50/100,50,"A married couple lose their children while on a family trip near some caves in Tijuana. The kids eventually reappear without explanation, but it becomes clear that they are not who they ...",https://ia.media-imdb.com/images/M/MV5BMTQ5NjIyMTUyMV5BMl5BanBnXkFtZTgwNTUxMjU0MDE@._V1_SX300.jpg,Magnolia Pictures,NOT RATED,N/A,TRUE,42%,97 min,Here Comes the Devil,movie,http://https://www.facebook.com/pages/Here-Comes-the-Devil/379313688799622,AdriÃ¡n GarcÃ_a Bogliano,2012,tt2107648,5.6,"3,371",2435,
"Jean Bertrand, Emma Chaibedra",N/A,N/A,France,30-Jul-13,Jimmy Boutry,"Short, Drama",,N/A,,N/A,N/A,N/A,Monterey Media,N/A,N/A,TRUE,38%,4 min,Between Us,movie,http://betweenusmovie.com/,Jimmy Boutry,2013,tt4390864,N/A,N/A,2436,
"Miguel Angel Pacheco, Rosmel Bustamante, Adriana Calzadilla, Simona Chirinos",3 wins & 2 nominations.,N/A,Venezuela,11-Nov-14,Alejandro Hidalgo,"Drama, Horror, Mystery",6.8/10,Spanish,,N/A,"Dulce is a mother of two who experiences terrifying encounters with apparitions inside her old house, a place where a tragedy occurs. Thirty years later, an elderly Dulce returns home to decipher the mystery that has tormented her for so long.",https://m.media-amazon.com/images/M/MV5BMjIzNTE5NzQ3NF5BMl5BanBnXkFtZTgwNzIxMDA5NzE@._V1_SX300.jpg,Centro Nacional AutÃ_nomo de CinematografÃ_a,UNRATED,21-Jun-13,TRUE,,101 min,The House at the End of Time,movie,http://www.lacasadelfindelostiempos.com/,"Alejandro Hidalgo (screenplay), Alejandro Hidalgo, Frank Baiz Quevedo (screenplay consultant)",2013,tt2640474,6.8,"5,690",2437,
"Justin Long, Keir O'Donnell, Evan Rachel Wood, Gideon Glick",N/A,N/A,USA,4-Feb-14,Kat Coiro,"Comedy, Romance",5.7/10,English,38/100,38,"A young writer tries to impress a girl he meets online with an embellished profile, but he finds himself in a real mess when she falls for him and he has to keep up the act.",https://m.media-amazon.com/images/M/MV5BMTg2MDQwOTAwNV5BMl5BanBnXkFtZTgwOTcwNjE0MDE@._V1_SX300.jpg,IFC Films,R,13-Feb-14,TRUE,47%,89 min,A Case of You,movie,http://www.ifcfilms.com/films/a-case-of-you,"Christian Long (screenplay), Justin Long (screenplay), Keir O'Donnell (screenplay)",2013,tt1817081,5.7,"10,017",2438,
"J.K. Simmons, Tim Allen, Scott Caan, Basil Hoffman",N/A,N/A,USA,12-Aug-13,Michelle Schumacher,Comedy,3.4/10,English,9/100,9,"Follow actor J Kimball as he researches what it's like to be old for a role in an upcoming movie. When he meets the residents at The Coconuts convalescent home, he quickly discovers that ...",https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxNjIzNzcxM15BMl5BanBnXkFtZTcwNjAxMjE0OQ@@._V1_SX300.jpg,Gravitas Adventuras,NOT RATED,22-May-13,TRUE,,81 min,3 Geezers!,movie,http://3geezers.com/,"Randle Schumacher, Eric Radzan, Tony Cummings",2013,tt1825784,3.4,637,2439,
"Forest Whitaker, Ray Liotta, Marton Csokas, Stephen Lang",N/A,"$2,137",USA,23-Apr-13,David A. Armstrong,"Action, Crime, Mystery",5.7/10,English,,N/A,A petty robbery spirals into a tense hostage situation after three gunmen hold up a diner that's a front for the mob.,https://m.media-amazon.com/images/M/MV5BMTg4NTcwMzM4N15BMl5BanBnXkFtZTcwOTIyOTkyOQ@@._V1_SX300.jpg,Anchor Bay Films,R,19-Sep-13,TRUE,,88 min,Pawn,movie,http://www.anchorbayentertainment.com/,Jay Anthony White,2013,tt1551630,5.7,"6,348",2440,
"Najarra Townsend, Caroline Williams, Alice Macdonald, Matt Mercer",3 nominations.,"$3,328",USA,18-Mar-14,Eric England,"Drama, Horror, Thriller",5.3/10,English,48/100,48,"After being drugged and raped at a party, a young woman contracts what she thinks is an STD; but, it's actually something much worse.",https://m.media-amazon.com/images/M/MV5BMTQwMjQyOTUwN15BMl5BanBnXkFtZTgwMDQ3MzE2MDE@._V1_SX300.jpg,IFC Films,NOT RATED,22-Nov-13,TRUE,53%,84 min,Contracted,movie,http://www.ifcfilms.com/films/contracted,Eric England,2013,tt2281159,5.3,"12,874",2441,
